,Grid Reference,Distance [m],Ascent[m],Descent[m],Compass Bearing,Total Distance [m],Total Ascent [m],Total Descent [m]
0,j 139 968,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,j 133 973,1830.0,115.0,-10.0,308.0,1830.0,115.0,-10.0
2,j 126 976,732.0,90.0,0.0,292.0,2562.0,205.0,-10.0
3,j 125 985,958.0,95.0,0.0,352.0,3520.0,300.0,-10.0
4,j 117 986,772.0,10.0,-20.0,277.0,4292.0,310.0,-30.0
5,j 108 990,1028.0,95.0,0.0,293.0,5320.0,405.0,-30.0
6,j 105 997,803.0,20.0,-25.0,339.0,6124.0,425.0,-55.0
7,o 099 004,944.0,15.0,-20.0,315.0,7067.0,440.0,-75.0
8,o 085 015,2044.0,280.0,-10.0,309.0,9111.0,720.0,-85.0
9,o 076 002,1634.0,0.0,-335.0,212.0,10746.0,720.0,-420.0
